STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS,WT09,WT01,WT06,WT02,WT11,WT04,WT08,WT03
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160610,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160611,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160612,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160613,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160614,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160615,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160616,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160617,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160618,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160619,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160620,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160621,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160622,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160623,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160624,-9999,-9999,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160625,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160626,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160627,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160628,-9999,-9999,0.34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160629,-9999,-9999,0.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0043,WOODBRIDGE TWP 1.1 ESE NJ US,20160630,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160601,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160602,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160603,-9999,-9999,0.00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160604,-9999,-9999,0.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160605,-9999,-9999,0.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160606,-9999,-9999,0.81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160607,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160608,-9999,-9999,0.10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160609,-9999,-9999,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160610,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160611,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160612,-9999,-9999,0.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160613,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160614,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJPS0005,HAWTHORNE 0.4 S NJ US,20160615,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
